go	va
the prisoner was given his freedom	on rendit sa liberte au prisonnier
the results were very satisfactory	les resultats etaient tres satisfaisants
the scenery was beyond description	le paysage defiait la description
the school was established in	cette ecole fut fondee en
the situation gets worse and worse	la situation ne fait qu empirer
the smell of roses filled the room	le parfum de roses emplit la piece
the soldier was wounded in the leg	le soldat fut blesse a la jambe
the storm became even more violent	la tempete devint encore plus violente
the storm developed into a typhoon	la tempete evolua en un typhon
the streets were covered with snow	les rues etaient couvertes de neige
the sushi at this shop tastes good	les sushis dans ce magasin sont bons
the suspect is armed and dangerous	le suspect est arme et dangereux
the suspect is armed and dangerous	la suspecte est armee et dangereuse
the tickets sold out within a week	les tickets furent epuises en une semaine
the world is changing every minute	le monde change a chaque minute
their rude behavior makes me angry	leur comportement insultant m a enerve
there are a lot of parks in london	il y a beaucoup de parcs a londres
there are a lot of parks in london	il y a de nombreux parcs a londres
these implements are in common use	ces ustensiles sont d usage courant
these light bulbs can t all be bad	ces ampoules ne peuvent pas toutes etre mauvaises
they climbed to the top of a cliff	ils escaladerent jusqu en haut de la falaise
they crossed the border into spain	ils ont traverse la frontiere espagnole
they have elected a new government	ils ont elu un nouveau gouvernement
they hid themselves in the shadows	ils se dissimulerent dans l obscurite
they kissed inside the planetarium	ils s embrasserent au planetarium
they never pay any attention to me	ils ne me pretent jamais aucune attention
they want me to organize the party	ils veulent que j organise une fete
they want me to organize the party	elles veulent que j organise une fete
they want to know what s happening	elles veulent savoir ce qui se passe
they were satisfied with the meals	ils etaient satisfaits de leur repas
they will survey the desert island	ils vont inspecter cette ile deserte
things are only going to get worse	les choses ne vont faire qu empirer
thirteen homes have been destroyed	treize maisons ont ete detruites
this bicycle belongs to my brother	ce velo appartient a mon frere
this building belongs to my family	ce batiment appartient a ma famille
this building is about to collapse	cet edifice menace de s effondrer
this car is very economical on gas	cette voiture est tres economique en essence
this dictionary is by far the best	ce dictionnaire est de loin le meilleur
this fruit has an unpleasant smell	ce fruit a une odeur desagreable
this is all a big misunderstanding	tout ca est un grand malentendu
this is an international community	c est une communaute internationale
this is the girl you wanted to see	c est la fille que tu voulais voir
this is the hospital i was born in	voici l hopital dans lequel je suis ne
this is the house where i was born	ceci est la maison ou je suis ne
this is the house where i was born	c est la maison ou je suis ne
this is the town where he was born	c est la ville ou il est ne
this movie is highly controversial	ce film est tres polemique
this problem is difficult to solve	ce probleme est difficile a resoudre
this song is very popular in japan	cette chanson est tres populaire au japon
this suitcase is too heavy for you	cette valise est trop lourde pour toi
this suitcase is too heavy for you	cette valise est trop lourde pour vous
this word is also french in origin	ce mot est egalement d origine francaise
three years have passed since then	trois ans se sont ecoules depuis
tom asked me to come back tomorrow	tom m a demande de revenir demain
tom believes that mary is innocent	tom croit que marie est innocente
tom can ski as well as his brother	tom peut skier aussi bien que son frere
tom closed the door of his bedroom	tom ferma la porte de sa chambre
tom currently lives with his uncle	tom vit actuellement avec son oncle
tom denied having stolen the money	tom nia avoir vole l argent
tom didn t give me any alternative	tom ne m a donne aucune alternative
tom disguised himself as a fireman	tom s est deguise en pompier
tom doesn t know anything about it	tom ne sait rien a ce sujet
tom doesn t know that he s adopted	tom ne sait pas qu il est adopte
tom doesn t know where he was born	tom ne sait pas ou il est ne
tom doesn t think before he speaks	tom ne reflechit pas avant de parler
tom doesn t want mary to touch him	tom ne veut pas que mary le touche
tom has quite a quirky personality	tom a une personnalite assez originale
tom is busy preparing for his trip	tom est occupe a preparer son voyage
tom is probably not busy right now	tom n est probablement pas occupe maintenant
tom is taking good care of himself	tom prend bien soin de lui meme
tom is three years older than i am	tom a trois ans de plus que moi
tom isn t really in love with mary	tom n est pas vraiment amoureux de mary
tom knew where he had put his keys	tom savait ou il avait mis ses cles
tom likes mary just the way she is	tom aime mary tout simplement comme elle est
tom likes to do things his own way	tom aime faire les choses a sa facon
tom lives in the middle of nowhere	tom vit au milieu de nulle part
tom lives on the same street as me	tom habite sur la meme rue que moi
tom must ve been home at that time	tom devait etre chez lui a cette heure
tom must ve left the water running	tom a du laisser couler l eau
tom never seems to finish anything	tom semble ne jamais rien terminer
tom poured himself a cup of coffee	tom se servit une tasse de cafe
tom poured some cereal into a bowl	tom versa des cereales dans un bol
tom pushed the raft into the water	tom poussa le radeau dans l eau
tom puts too much sugar in his tea	tom met trop de sucre dans son the
tom said he d like to visit boston	tom a dit qu il aimerait visiter boston
tom shares a room with his brother	tom partage une chambre avec son frere
tom spilled some wine on his shirt	tom renversa du vin sur sa chemise
tom spoke to the doctors in french	tom a parle aux medecins en francais
tom started to take off his jacket	tom a commence a enlever sa veste
tom stole a lot of money from mary	tom a vole beaucoup d argent a marie
tom tried in vain to hide his pain	tom essaya en vain de cacher sa douleur
tom wanted mary to accept his gift	tom voulait que marie accepte son cadeau
tom wants mary to keep him company	tom veut que mary lui tienne compagnie
tom wants me to stay away from him	tom veut que je reste eloigne de lui
tom was apparently very convincing	tom etait apparemment tres convainquant
tom was sitting on the couch alone	tom etait assis seul sur le canape
tom was the first person to arrive	tom etait la premiere personne a arriver
tom was the first person to arrive	tom fut la premiere personne a arriver
tom wrote a lot of letters to mary	tom a ecrit beaucoup de lettres a mary
tom s dog is a pretty good swimmer	le chien de tom est assez bon nageur
tom s the one who broke the window	tom est celui qui a casse la fenetre
translate the underlined sentences	traduisez les phrases soulignees
ultraviolet rays are harmful to us	les rayons ultraviolets nous sont nuisibles
unfortunately it rained yesterday	malheureusement il pleuvait hier
wait i want to show you something	attends je veux te montrer quelque chose
wait i want to show you something	attendez je veux vous montrer quelque chose
wait i want to tell you something	attends je veux te dire quelque chose
wait i want to tell you something	attendez je veux vous dire quelque chose
we believe in the existence of god	nous croyons en l existence de dieu
we can t do this without some help	nous ne pouvons pas le faire sans aide
we criticized her for her behavior	nous la critiquames pour son comportement
we discussed the problem at length	nous avons discute longuement du probleme
we discussed the subject at length	nous discutons du sujet en detail
we don t have any eggs left either	nous non plus n avons plus d ufs
we don t want you to hurt yourself	nous ne voulons pas que vous vous blessiez
we don t want you to hurt yourself	nous ne voulons pas que tu te blesses
we have decided to adopt your idea	nous avons decide d adopter ton idee
we have decided to adopt your idea	nous avons decide d adopter votre idee
we have less than three hours left	il nous reste moins de trois heures
we have to make sure they re ready	nous devons nous assurer qu ils sont prets
we have to weigh the pros and cons	nous devons peser les avantages et les inconvenients
we have walked all around the lake	nous avons marche tout autour du lac
we haven t actually set a date yet	nous n avons pas encore fixe de date
we haven t had any major accidents	nous n avons eu aucun accident majeur
we just want you to tell the truth	nous voulons simplement que tu dises la verite
we just want you to tell the truth	nous voulons simplement que vous disiez la verite
we like to learn foreign languages	nous aimons apprendre des langues etrangeres
we loaded our baggage into the car	nous chargeames nos bagages dans la voiture
we made a good impression i think	nous avons fait bonne impression je pense
we must have something to live for	nous devons avoir une raison de vivre
we often went skiing in the winter	nous allions souvent skier durant l hiver
we reached the top of the mountain	nous atteignimes le sommet de la montagne
we reached the top of the mountain	nous parvinmes au sommet de la montagne
we were all present at her wedding	nous etions tous presents a son mariage
we were all present at the meeting	nous etions tous presents a la reunion
we were greeted by a cute waitress	nous fumes accueillis par une ravissante serveuse
we were greeted by a cute waitress	nous fumes accueillies par une ravissante serveuse
we were surprised to hear the news	nous fumes surpris d entendre les nouvelles
we were unable to follow his logic	nous etions incapables de suivre sa logique
we will make every effort to do so	nous mettrons tout en uvre pour le faire
we ll have little snow this winter	nous aurons peu de neige cet hiver
we ll start whenever you are ready	nous commencerons des que vous etes pret
we ll start whenever you are ready	nous commencerons des que tu es pret
we ve already covered this subject	nous avons deja couvert ce sujet
were they in the library yesterday	etaient ils hier a la bibliotheque
what am i supposed to tell tom now	que suis je cense dire a tom maintenant
what am i supposed to tell tom now	que suis je suppose dire a tom maintenant
what are the doctor s office hours	quand le medecin tient il sa consultation
what does everyone do after school	que fait chacun apres l ecole
what grade did you get on the test	quelle note avez vous obtenue a l examen
what grade did you get on the test	quelle note as tu obtenue a l examen
what have you done with my luggage	qu as tu fait de mes bagages
what he said turned out to be true	ce qu il avait dit se revela vrai
what is the origin of the universe	quelle est l origine de l univers
what kind of training have you had	quelle sorte d entrainement as tu recu
what kind of training have you had	quelle sorte de formation as tu recue
what magazines do you subscribe to	a quels magazines t abonnes tu
what newspaper do you subscribe to	a quel journal es tu abonne
what newspaper do you subscribe to	a quel journal etes vous abonne
what newspaper do you subscribe to	a quel journal etes vous abonnee
what newspaper do you subscribe to	a quel journal etes vous abonnees
what newspaper do you subscribe to	a quel journal etes vous abonnes
what newspaper do you subscribe to	a quel journal es tu abonnee
what should we do if he comes late	que devrions nous faire s il vient tard
what was the cause of the accident	quelle fut la cause de l accident
what was the cause of your quarrel	quelle fut la cause de votre querelle
what ll you do if someone sees you	que feras tu si quelqu un te voit
what ll you do if someone sees you	que ferez vous si quelqu un vous voit
what s the capital city of finland	quelle est la capitale de la finlande
what s the real reason you re here	quelle la veritable raison de votre presence ici
what s the real reason you re here	quelle la veritable raison de ta presence ici
what s the weight of your suitcase	quel est le poids de votre valise
what s the weight of your suitcase	quel est le poids de ta valise
what s your favorite color of hair	quelle est ta couleur de cheveux preferee
what s your favorite way to travel	quelle est votre facon de voyager preferee
whatever you do don t forget this	quoique tu fasses n oublie pas ca
when will the world come to an end	quand le monde connaitra t il une fin
where are you going this afternoon	ou vas tu cet apres midi
where did you get all those plants	ou as tu recupere toutes ces plantes
where did you meet your girlfriend	ou as tu rencontre ta copine
which tv show do you like the most	quel programme de television appreciez vous le plus
who wears the pants in your family	qui porte la culotte dans votre famille
who s the next person on your list	qui est la personne suivante sur ta liste
who s the next person on your list	qui est la personne suivante sur votre liste
why did you accept this assignment	pourquoi avez vous accepte cette mission
why did you accept this assignment	pourquoi as tu accepte cette mission
why don t we play tennis on sunday	pourquoi ne jouons nous pas au tennis dimanche
why don t you come dancing with me	pourquoi ne venez vous pas danser avec moi
why don t you read it for yourself	pourquoi ne le lisez vous pas vous meme
why don t you read it for yourself	pourquoi ne le lisez vous pas vous memes
why don t you read it for yourself	pourquoi ne le lis tu pas toi meme
why don t you read it for yourself	pourquoi ne la lisez vous pas vous meme
why don t you read it for yourself	pourquoi ne la lisez vous pas vous memes
why don t you read it for yourself	pourquoi ne la lis tu pas toi meme
why don t you try a different tack	pourquoi n essaies tu pas une autre piste
will you be in boston this weekend	serez vous a boston ce week end
will you be in boston this weekend	seras tu a boston ce week end
will you guys please stop fighting	vous pouvez cesser de vous disputer
will you have another slice of pie	veux tu une autre part de tarte
will you have another slice of pie	veux tu une autre part de tourte
would you like a little more salad	voudriez vous encore un peu de salade
would you like a little more salad	voudrais tu encore un peu de salade
would you mind lending me your car	voudriez vous bien me preter votre voiture
would you mind lending me your car	voudrais tu bien me preter ta voiture
you can go wherever you want to go	tu peux te rendre ou bon te semble
you can go wherever you want to go	vous pouvez vous rendre ou bon vous semble
you can pick out any book you like	vous pouvez choisir le livre que vous aimez
you can stay only if you are quiet	tu peux rester seulement si tu es tranquille
you can stay only if you are quiet	vous pouvez rester seulement si vous etes calmes
you can stay with us for the night	tu peux rester avec nous pour la nuit
you don t know what you re missing	tu ne sais pas ce que tu manques
you don t know what you re missing	vous ne savez pas ce que vous manquez
you don t understand the procedure	vous ne comprenez pas la procedure
you don t understand the procedure	tu ne comprends pas la procedure
you have to adapt to circumstances	on doit se plier aux circonstances
you must get rid of that bad habit	tu dois te debarrasser de cette mauvaise habitude
you must overcome the difficulties	tu dois surmonter les difficultes
you must take his age into account	tu dois prendre en compte son age
you should have told him the truth	vous auriez du lui dire la verite
you should have your eyes examined	tu devrais faire examiner tes yeux
you should have your eyes examined	vous devriez faire examiner vos yeux
you should have your head examined	tu devrais faire examiner ta tete
you will never be too old to learn	on n est jamais trop vieux pour apprendre
you will never be too old to learn	tu n es pas trop vieux pour apprendre
you d better wait for the next bus	tu ferais mieux d attendre le prochain bus
you ve been cleared of all charges	vous avez ete lave de tout soupcon
you ve been cleared of all charges	tu as ete lave de tout soupcon
your ideas are different from mine	vos idees sont differentes des miennes
your ideas are quite old fashioned	tes idees sont un peu depassees
your method is different from mine	tes methodes sont differentes des miennes
your sister s as beautiful as ever	votre s ur est toujours aussi belle
your sister s as beautiful as ever	ta s ur est toujours aussi belle
a japanese wouldn t do such a thing	un japonais ne ferait pas une telle chose
a butterfly is a mature caterpillar	un papillon est une chenille adulte
a cold wind was blowing on his face	un vent glacial lui soufflait sur le visage
a gunshot was heard in the distance	une detonation se fit entendre au loin
a home is more than a mere building	un foyer est plus qu un simple batiment
a home is more than a mere building	une maison est plus qu un simple batiment
a lot of jobs are done by computers	de nombreux travaux sont realises par les ordinateurs
a man appeared from behind the door	un homme est apparu derriere la porte
a new topic came up in conversation	un nouveau sujet arriva dans la conversation
a number of passengers were injured	nombre de passagers ont ete blesses
after taking a bath tom ate dinner	apres avoir pris un bain tom dina
all of us looked through the window	nous avons tous regarde par la fenetre
all your questions will be answered	on repondra a toutes tes questions
all your questions will be answered	on repondra a toutes vos questions
almost everything has been improved	presque tout a ete ameliore
almost everything has gotten better	presque tout s est ameliore
any further discussion is pointless	toute discussion supplementaire est futile
are we being charged with something	sommes nous accuses de quelque chose
are we being charged with something	sommes nous accusees de quelque chose
are you coming to the party tonight	viens tu a la fete ce soir
are you coming to the party tonight	venez vous a la fete ce soir
are you for or against the proposal	etes vous pour ou contre cette proposition
are you for or against the proposal	es tu pour ou contre la proposition
are you pleased with your new house	etes vous satisfait de votre nouvelle maison
are you sure you didn t do anything	es tu certain de n avoir rien fait
are you sure you didn t do anything	etes vous certain de n avoir rien fait
are you sure you didn t do anything	es tu certaine de n avoir rien fait
are you sure you didn t do anything	etes vous certaine de n avoir rien fait
are you sure you didn t do anything	etes vous certains de n avoir rien fait
are you sure you didn t do anything	etes vous certaines de n avoir rien fait
are you through with your breakfast	as tu termine ton petit dejeuner
are you through with your breakfast	avez vous termine votre petit dejeuner
at first the indians were friendly	au debut les indiens furent amicaux
at last we reached our destination	nous avons finalement atteint notre destination
before he died he was almost blind	avant de mourir il etait presque aveugle
can i borrow it for about two weeks	puis je l emprunter pour deux semaines environ
can you express yourself in english	peux tu t exprimer en anglais
can you express yourself in english	sais tu t exprimer en anglais
can you forget your native language	peux tu oublier ta langue natale
can you forget your native language	pouvez vous oublier votre langue natale
can you help me with the washing up	peux tu m aider a faire la vaisselle
can you imagine walking on the moon	peux tu imaginer marcher sur la lune
can you tell us what you re wearing	peux tu nous dire ce que tu portes
can you tell us what you re wearing	pouvez vous nous dire ce que vous portez
christmas falls on sunday this year	noel tombe un dimanche cette annee
congratulations on your anniversary	felicitations pour ton anniversaire
could we have a table in the corner	pourrions nous avoir une table dans le coin
could you bring us the bill please	j aimerais la note je vous prie
could you find out how to get there	pourriez vous trouver comment se rendre la bas
could you make a reservation for me	pourriez vous faire une reservation pour moi
could you move just a little closer	pourriez vous vous rapprocher juste un peu
could you move just a little closer	pourrais tu te rapprocher juste un peu
could you reduce the price a little	pourriez vous reduire un peu le prix
could you send this letter to japan	pouvez vous envoyer cette lettre au japon
cows are eating grass in the meadow	les vaches mangent l herbe du paturage
did you enjoy yourself last evening	t es tu amuse hier soir
did you enjoy yourself last evening	t es tu amusee hier soir
did you get enough sleep last night	as tu suffisamment dormi la nuit derniere
did you have breakfast this morning	as tu petit dejeune ce matin
did you have breakfast this morning	avez vous petit dejeune ce matin
did you hear my son play the violin	as tu entendu mon fils jouer du violon
did you inform your teacher of this	as tu prevenu ton professeur de cela
did you reserve a room at the hotel	as tu reserve une chambre a l hotel
did you say that tom is your friend	as tu dit que tom est ton ami
do you have any brothers or sisters	avez vous des freres et s urs
do you have professional experience	avez vous une experience professionnelle
do you know how to use this machine	savez vous comment vous servir de cette machine
do you know how to use this machine	sais tu comment te servir de cette machine
do you really think tom can hear us	penses tu vraiment que tom peut nous entendre
do you really think tom is handsome	pensez vous vraiment que tom est beau
do you really think tom is handsome	penses tu vraiment que tom est beau
do you really think it s impossible	penses tu vraiment que c est impossible
do you really think it s impossible	pensez vous vraiment que ce soit impossible
do you think i look like my brother	pensez vous que je ressemble a mon frere
does she know your telephone number	connait elle votre numero de telephone
does she know your telephone number	connait elle ton numero de telephone
don t be too sensitive to criticism	ne sois pas trop sensible aux critiques
don t judge a man by his appearance	ne jugez pas un homme a son apparence
don t leave the bicycle in the rain	ne laisse pas le velo sous la pluie
don t miss this amazing opportunity	ne manquez pas cette exceptionnelle occasion
don t miss this amazing opportunity	ne manque pas cette incroyable occasion
don t touch anything without asking	ne touchez a rien sans demander
don t touch anything without asking	ne touche a rien sans demander
einstein enjoyed playing the violin	einstein aimait jouer du violon
every country has its national flag	chaque pays a son drapeau national
every man has his own strong points	chaque homme a ses propres points forts
every time i see him he is smiling	chaque fois que je le vois il sourit
everyone is going to call me a liar	tout le monde va me traiter de menteur
everyone was invited except for me	tous ont ete invites sauf moi
excuse me but do you need any help	allo en quoi puis je vous etre utile
excuse me but where is the library	excusez moi ou se trouve la bibliotheque
few people live to be years old	peu de gens vivent jusqu a ans
few students know how to read latin	peu d etudiants savent lire en latin
galileo argued that the earth moves	galilee soutenait que la terre bouge
get your mother to do your homework	que ta mere te fasse tes devoirs
get your mother to do your homework	fais faire tes devoirs par ta mere
getting married is a serious matter	se marier est une chose serieuse
have you ever had a serious illness	as tu jamais eu une maladie serieuse
have you ever read a book in french	avez vous deja lu un livre en francais
have you ever scolded your daughter	avez vous jamais reprimande votre fille
have you ever scolded your daughter	as tu jamais reprimande ta fille
have you ever seen a film this good	as tu deja vu un aussi bon film
have you ever seen a film this good	as tu deja vu un film aussi bon
have you finished your homework yet	as tu deja fini tes devoirs
have you finished your homework yet	as tu enfin fini tes devoirs
have you received a letter from him	as tu recu une lettre de lui
have you received a letter from him	avez vous recu une lettre de lui
he advocated the reduction of taxes	il pronait la baisse des impots
he and i are almost the same height	lui et moi avons presque la meme taille
he borrowed the car from his friend	il emprunta la voiture de son ami
he comes to see me nearly every day	il vient me voir presque tous les jours
he decided to put off his departure	il a decide de reporter son depart
he drew a straight line on the wall	il traca une ligne droite sur le mur
he explained to my son why it rains	il expliqua a mon fils pourquoi il pleut
he had an unpleasant screechy voice	il avait une desagreable voix percante
he had plenty of money for his trip	il avait beaucoup d argent pour son voyage
he had the gall to ignore my advice	il eut l effronterie d ignorer mon conseil
he has been busy since this morning	il a ete occupe depuis ce matin
he judged it wiser to remain silent	il jugea plus sage de rester silencieux
he landed himself a really plum job	il a degote un boulot en or
he lost his eyesight in an accident	il perdit la vue dans un accident
he makes mountains out of molehills	il fait des montagnes de tout
he must have left the water running	il a du laisser l eau couler
he must have missed his usual train	il a du rater son train habituel
he must have missed his usual train	il a du manquer son train habituel
he often gets angry at small things	il s enerve souvent pour des details
he often goes to the library by car	il va souvent a la bibliotheque en voiture
he pressed his ear against the wall	il pressa son oreille contre le mur
he remained a bachelor all his life	il est reste celibataire toute sa vie
he said two or three words and left	il dit deux ou trois mots et partit
he stood there with his eyes closed	il se tenait la les yeux fermes
he succeeded in solving the problem	il parvint a resoudre le probleme
he told me to leave the window open	il m ordonna de laisser la fenetre ouverte
he uses the same dictionary as i do	il se sert du meme dictionnaire que moi
he wants to go to the united states	il veut aller aux etats unis d amerique
he wants to spend time with his son	il veut passer du temps avec son fils
he was displeased with his neighbor	il etait mecontent de son voisin
he was sitting with his arms folded	il etait assis avec les bras croises
he was very pleased with the result	il a ete tres satisfait du resultat
hey how do you get this thing open	dis comment parviens tu a ouvrir ce truc
hey how do you get this thing open	dites comment parvenez vous a ouvrir ce truc
his car was stuck in knee deep snow	sa voiture etait immobilisee dans une neige profonde
his face showed that he was annoyed	son visage exprimait qu il etait ennuye
his neighbors are suspicious of him	ses voisins se mefient de lui
his skill qualifies him for the job	sa capacite le qualifie pour le poste
hopefully the weather will be good	esperons que la meteo sera bonne
how did you celebrate your birthday	comment as tu fete ton anniversaire
how did you get acquainted with her	comment est ce que tu la connais
how do you pronounce your last name	comment prononcez vous votre nom de famille
how long have you been working here	combien de temps as tu travaille ici
how many days does a leap year have	une annee bissextile ca a combien de jours
how many pairs of socks do you have	de combien de paires de chaussettes disposes tu
hurry and you will catch the train	depeche toi et tu auras ton train
i asked him if he would return soon	je lui ai demande s il revenait bientot
i belong to the rugby football club	j appartiens a un club de rugby
i can assure you that you are wrong	je peux t assurer que tu as tort
i can assure you that you are wrong	je peux vous assurer que vous avez tort
i can carry those suitcases for you	je peux porter ces valises pour vous
i can take care of that immediately	je peux m occuper de cela immediatement
i can understand what she is saying	je peux comprendre ce qu elle dit
i can understand your point of view	je peux comprendre votre point de vue
i can understand your point of view	je peux comprendre ton point de vue
i cried myself to sleep every night	je m endormais en pleurant chaque soir
i declined his invitation to dinner	je refusai son invitation a diner
i didn t even know you spoke french	j ignorais meme que tu parlais le francais
i didn t even know you spoke french	j ignorais meme que vous parliez le francais
i didn t really feel like going out	je n avais pas vraiment envie de sortir
i do not like mathematics very much	je n aime pas beaucoup les mathematiques
i don t have a very good dictionary	je n ai pas un tres bon dictionnaire
i don t have to make an appointment	je n ai pas a prendre rendez vous
i don t know anything about cricket	je n y connais rien en cricket
i don t know what could ve happened	j ignore ce qui aurait pu se passer
i don t pretend to understand women	je ne pretends pas comprendre les femmes
i don t remember any of their names	je ne me rappelle aucun de leurs noms
i don t see any footprints anywhere	je ne vois aucune empreinte nulle part
i don t think tom will believe mary	je ne pense pas que tom croira mary
i don t understand what s happening	je ne comprends pas ce qui arrive
i don t want to spend more than	je ne veux pas depenser plus de dollars
i eat my breakfast at seven o clock	je prends mon petit dejeuner a sept heures
i fell in love in an unlikely place	je suis tombe amoureux dans un endroit improbable
i fell in love in an unlikely place	je suis tombe amoureuse dans un endroit improbable
i had already spotted him from afar	je l avais deja repere de loin
i had my personal computer repaired	j ai fait reparer mon ordinateur
i have a large collection of stamps	j ai une grande collection de timbres
i have a previous engagement at ten	j ai deja des obligations a heures
i have a round trip ticket to tokyo	j ai un billet aller retour pour tokyo
i have an account at that book shop	j ai un compte ouvert dans cette librairie
i have been in japan for two months	j ai ete au japon pendant deux mois
i have kept a diary for three years	je tiens un journal intime depuis trois ans
i have read that story in some book	j ai lu cette histoire dans un livre
i have read that story in some book	j ai lu cette histoire dans quelque livre
i have to think this over carefully	je dois reflechir a tout ca serieusement
i haven t read either of his novels	je n ai lu aucun de ses romans
i helped my mother with the cooking	j aidais ma mere pour la cuisine
i highly doubt tom wants to see you	je doute grandement que tom veuille te voir
i hope they have a pleasant journey	j espere qu ils font bon voyage
i hope they have a pleasant journey	j espere qu elles font bon voyage
i hope you will be completely cured	j espere que tu seras completement gueri
i hope you will be completely cured	j espere que vous serez completement guerie
i hope you will be completely cured	j espere que vous serez completement gueries
i hope you will be completely cured	j espere que vous serez completement gueris
i just want to see what will happen	je veux juste voir ce qui se passera
i just want you to think about that	je veux simplement que vous pensiez a cela
i know some students in that school	je connais quelques etudiants de cette ecole
i leave for london tomorrow morning	je pars pour londres demain matin
i like the slow rhythm of that song	j aime le rythme lent de cette chanson
i looked for him in the supermarket	je l ai recherche dans le supermarche
i no longer have the energy to talk	je n ai plus la force de discuter
i object to being treated like that	je refuse d etre traite comme ca
i persuaded him to give up the idea	je l ai convaincu d abandonner l idee
i really have to finish my homework	il me faut vraiment terminer mes devoirs
i really want to get this work done	je veux vraiment que ce travail soit fait
i saw him walking alone in the park	je le vis marcher seul dans le parc
i suppose you want to use my office	je suppose que vous voulez utiliser mon bureau
i suppose you want to use my office	je suppose que tu veux utiliser mon bureau
i think that recording is important	je pense qu enregistrer est important
i think the box has something in it	je pense que la boite contient quelque chose
i think there s something tom wants	je pense que tom veut quelque chose
i think we ll get there before noon	je pense qu on y arrivera avant midi
i want her to do the difficult work	je veux lui faire faire ce travail difficile
i want it to be different this time	cette fois je veux que ce soit different
i want to go to school in australia	je veux aller a l ecole en australie
i want to hear more about your trip	je veux en entendre plus sur ton voyage
i want to know where you heard that	je veux savoir ou tu as entendu cela
i want to know where you heard that	je veux savoir ou tu as entendu ca
i want to know where you heard that	je veux savoir ou vous avez entendu cela
i want to know where you heard that	je veux savoir ou vous avez entendu ca
i want to live close to the station	je veux vivre pas loin de la gare
i want to take a nice long vacation	je veux prendre de chouettes et longues vacances
i want you to leave my family alone	je veux que vous laissiez ma famille tranquille
i was surprised by his perseverance	je fus surpris par sa perseverance
i wasn t following the conversation	je ne suivais pas la conversation
i went outside early in the morning	je suis sorti dehors tot le matin
i will finish the work in five days	je vais finir ce travail dans cinq jours
i will go tomorrow morning at seven	j irai demain matin a sept heures
i will never force you to marry him	je ne te forcerai jamais a l epouser
i will side with you just this once	je prendrai votre parti juste pour cette fois
i wonder if my efforts will pay off	je me demande si mes efforts vont payer
i work from monday through saturday	je travaille du lundi au samedi
i would rather walk than go by taxi	je prefere marcher que de prendre un taxi
i wouldn t call this an improvement	je ne qualifierais pas ca une amelioration
i wouldn t have made it without you	je n y serais pas parvenu sans vous
i wouldn t have made it without you	je n y serais pas parvenue sans vous
i wouldn t have made it without you	je n y serais pas parvenu sans toi
i wouldn t have made it without you	je n y serais pas parvenue sans toi
i d be happy if that happened again	je serais heureux si ca survenait a nouveau
i d be happy if that happened again	je serais heureuse si ca survenait a nouveau
i d like to have breakfast with you	j aimerais prendre le petit dejeuner avec vous
i d like to visit australia someday	j aimerais visiter l australie un jour
i ll see to it first thing tomorrow	j y veillerai demain a la premiere heure
i ll stay with tom until you return	je resterai avec tom jusqu a votre retour
i ll wait until you finish the work	je vais attendre que vous finissiez votre travail
i ve always preferred working alone	j ai toujours prefere travailler seul
i ve asked you this question before	je t ai deja pose cette question
i ve asked you this question before	je vous ai deja pose cette question
i ve asked you this question before	je t ai pose cette question auparavant
i ve asked you this question before	je vous ai pose cette question auparavant
i ve been asked to quit the company	on m a demande de quitter la societe
i ve had to make some tough choices	j ai eu des choix difficiles a faire
i ve just finished writing a letter	je viens juste de terminer une lettre
i ve never done it like that before	je ne l ai jamais fait ainsi auparavant
if that happened what would you do	si cela se produisait que ferais tu
if that happened what would you do	si cela se produisait que feriez vous
if you want you can easily make it	si tu veux tu peux le faire aisement
in an emergency do you act quickly	en cas d urgence agissez vous rapidement
inflation is getting out of control	l inflation echappe a tout controle
is there something i can do for you	quelque chose que je puisse faire pour toi
is this building open to the public	ce batiment est il ouvert au public
it made me forget about my problems	ca m a fait oublier mes problemes
it seems that no one knew the truth	il semble que personne ne savait la verite
it seems that no one knew the truth	il semblerait que personne ne connaissait la verite
it will become much warmer in march	il fera bien plus chaud en mars
it s been raining for almost a week	cela fait presque une semaine qu il pleut
it s better to give than to receive	il est mieux de donner que de recevoir
it s important to know one s limits	il est important de connaitre ses propres limites
it s no use trying to intimidate me	il est inutile d essayer de m intimider
it s something my mother used to do	c est quelque chose que ma mere faisait
it s your responsibility to do that	c est ta responsabilite de faire ca
it s your responsibility to do that	c est votre responsabilite de faire cela
kyoto is famous for its old temples	kyoto est connue pour ses temples anciens
luck comes to those who look for it	la chance vient a ceux qui la cherchent
many american planes were shot down	de nombreux avions etasuniens furent abattus
many american planes were shot down	de nombreux appareils etasuniens furent abattus
miniskirts have gone out of fashion	les minijupes sont passees de mode
mother was afraid i would get dirty	maman avait peur que je me salisse
mr jackson is our homeroom teacher	m jackson est notre professeur principal
my apartment is on the fourth floor	mon appartement se situe au quatrieme etage
my best friend is currently in rome	mon meilleur ami est actuellement a rome
my boss assigned the hard job to me	mon patron m a assigne le travail difficile
my father doesn t drink hard liquor	mon pere ne boit pas de digestifs
my father will not be busy tomorrow	mon pere ne sera pas occupe demain
my grandfather was an archaeologist	mon grand pere etait archeologue
my mother gets up earlier than i do	ma mere se leve plus tot que moi
my wife is suffering from pneumonia	ma femme souffre d une pneumonie
no matter what you do do your best	quoi que tu fasses fais de ton mieux
